,0,1,2,3
0,@Fisher85M,2023-02-15 13:57:33+00:00,https://twitter.com/Fisher85M/status/1625856844462948353,@eerosupport @geteero Thank you
1,@Fisher85M,2023-02-15 13:51:46+00:00,https://twitter.com/Fisher85M/status/1625855390817882118,@geteero Good morning. I would like to report two vulnerabilities when using your iOS app. What is the best method to provide you this information? Thanks.
2,@Fisher85M,2023-02-13 14:19:12+00:00,https://twitter.com/Fisher85M/status/1625137518319468544,Started with a cold call from a #startup that provides analytics on Wi-Fi data. Figured I would entertain the possibility of a vendor agnostic approach for providing technical analytics when it comes to the stability of a wireless environment. When I asked what types of PII would…
3,@Fisher85M,2023-02-13 13:55:38+00:00,https://twitter.com/Fisher85M/status/1625131588412481536,@alvinfoo No red flags 🚩 to be seen here! 🫤
4,@Fisher85M,2023-02-12 12:52:15+00:00,https://twitter.com/Fisher85M/status/1624753249805893632,@LeadToday @pettet50 It’s amazing how historically accurate scientists have been to make these observations.
5,@Fisher85M,2023-02-10 13:25:04+00:00,https://twitter.com/Fisher85M/status/1624036731723849731,@DataIsCooI @fasc1nate And maybe a storm drain to collect the water so it doesn’t re-freeze. We figured it out! 🙌
6,@Fisher85M,2023-02-10 13:06:59+00:00,https://twitter.com/Fisher85M/status/1624032178291060738,@michaelbathurst @AnneGerrior @gregscloud1 @SamWallDigital @Kellyrei007 @BabyGoa08346388 @BusinessBreeze @yourResonance_ @kevinandrewtod4 @NonsensicalNon2 @thereal_tiedomi @TheRealMikeEpps @TheRealBuzz Thanks so much happy Friday 💯
7,@Fisher85M,2023-02-10 13:06:31+00:00,https://twitter.com/Fisher85M/status/1624032064021430272,@jblefevre60 @MikeQuindazzi @PawlowskiMario @mvollmer1 @gvalan @ipfconline1 @LaurentAlaus @Shi4Tech @kalydeoo @Ym78200 @Nicochan33 @chboursin @sallyeaves Let’s go! 💯 TGIF!
8,@Fisher85M,2023-02-10 12:03:24+00:00,https://twitter.com/Fisher85M/status/1624016177004511233,@fasc1nate So the snow needs to be cleaned up before the next truck arrives otherwise the snow will pack down and turn to ice. This will reduce the effective ceiling height which could be problematic considering how close it is to the roof of the truck.
9,@Fisher85M,2023-02-09 18:46:38+00:00,https://twitter.com/Fisher85M/status/1623755266880684033,"@vxunderground I totally get it. We definitely don’t need any additional disinformation around the internet. Devil’s Advocate POV: Just like anything, the more time we spend with this type of technology, the more mature it will become."
10,@Fisher85M,2023-02-09 17:25:22+00:00,https://twitter.com/Fisher85M/status/1623734818776272896,@ValeryMarchive @JPS_CTI Welp.
11,@Fisher85M,2023-02-09 17:22:30+00:00,https://twitter.com/Fisher85M/status/1623734093794930697,@ValeryMarchive @JPS_CTI Was this ESXi server sitting directly on the internet?
12,@Fisher85M,2023-02-09 11:56:00+00:00,https://twitter.com/Fisher85M/status/1623651930533777410,@Gerashchenko_en @BBC_ua @ZelenskyyUa So wholesome!
13,@Fisher85M,2023-02-07 22:41:58+00:00,https://twitter.com/Fisher85M/status/1623089715065790464,ChatGPT integration with Bing!
14,@Fisher85M,2023-02-07 17:32:54+00:00,https://twitter.com/Fisher85M/status/1623011937805119488,"@bruces Can’t learn from history if we just erase it, right?"
15,@Fisher85M,2023-02-07 10:38:02+00:00,https://twitter.com/Fisher85M/status/1622907532187508736,@ShellyKramer Are these ESXi servers publicly facing?
16,@Fisher85M,2023-02-03 15:11:22+00:00,https://twitter.com/Fisher85M/status/1621526768296370182,"@Spiceworks Depends on the switch. 25 is an odd number. Some switches share ports (between RJ45/SFP+, for example). Others, might have logically grouped ports by compatible port speed."
17,@Fisher85M,2023-02-02 15:06:55+00:00,https://twitter.com/Fisher85M/status/1621163258034929665,@LitMoose Welp.
18,@Fisher85M,2023-01-31 22:52:59+00:00,https://twitter.com/Fisher85M/status/1620555774475780097,"@CrunkComputing Messages are not just passing SPF they are DKIM signed. Legit from PayPal, but bad actors have accounts. Seeing more of this activity today."
19,@Fisher85M,2023-01-31 12:45:49+00:00,https://twitter.com/Fisher85M/status/1620402976497229829,There appears to be a large uptick in emails originating legitimately from @Paypal asking people to pay invoices for something that was never bought. This is a major problem as emails are bypassing spam filters as they are legitimately being sent by PayPal email servers.
20,@Fisher85M,2023-01-31 12:42:29+00:00,https://twitter.com/Fisher85M/status/1620402136831102977,@AskPayPal @KeldonAlleyne @sur04sep This reactive approach you’re taking to the issue is quite frankly unacceptable and is raising great concern over the privacy and safety of your customers. How much feedback from your customers do you need to fix the internal problem? Do better.
21,@Fisher85M,2023-01-31 02:25:49+00:00,https://twitter.com/Fisher85M/status/1620246947415326720,"@KeldonAlleyne @sur04sep @AskPayPal @PayPal That's a scam. The ""Invoices"" are being generated FROM a bad actor's @PayPal so they appear legitimate to the recipient. These emails are passing SPF/DKIM auth checks. It's a major problem and PayPal needs to do something about it."
